性別,層級,0公尺速率,10公尺速率,21.5公尺速率,30公尺速率,最終100m秒數,風速,起跑反應時間,風速校正成績
男,高中,0,4.93,9.43,10.12,10.76,1,0.136,10.819
男,高中,0,5,9.2,10,10.81,1,0.135,10.87
男,高中,0,4.88,9.58,10.12,10.72,1,0.156,10.779
男,高中,0,5.05,9.58,9.88,10.71,1,0.134,10.769
男,高中,0,4.95,9.5,10.24,10.58,1,0.135,10.637
男,高中,0,4.88,9.35,10.37,10.61,1,0.161,10.668
男,高中,0,5,9.27,10,10.68,1,0.155,10.738
男,高中,0,4.95,9.75,10.12,10.68,1,0.117,10.738
男,國中,0,4.76,8.98,10.12,11.04,1.3,0.153,11.119
男,國中,0,4.72,8.65,10.63,11.2,1.3,0.165,11.282
男,國中,0,4.81,9.27,10.24,10.93,1.3,0.176,11.008
男,國中,0,4.88,9.2,10.12,10.85,1.3,0.14,10.927
男,國中,0,5,9.2,10,10.82,1.3,0.113,10.896
男,國中,0,4.81,9.13,9.88,10.94,1.3,0.154,11.018
男,國中,0,4.76,9.58,9.77,11.04,1.3,0.167,11.119
男,國中,0,4.72,9.75,9.88,10.99,1.3,0.122,11.069
男,高中,0,4.83,9.35,10.12,10.86,1.4,0.152,10.942
男,高中,0,4.83,9.2,10.63,10.74,1.4,0.126,10.821
男,高中,0,5.13,9.35,10.37,10.5,1.4,0.122,10.577
男,高中,0,5,9.27,10.63,10.63,1.4,0.137,10.709
男,高中,0,5.05,9.13,10.49,10.74,1.4,0.143,10.821
男,高中,0,5,9.58,10.63,10.59,1.4,0.157,10.668
男,高中,0,4.81,9.27,10.63,10.78,1.4,0.123,10.861
男,高中,0,4.93,9.5,10,11,1.4,0.141,11.084
男,高中,0,5,8.71,10.37,10.93,2.6,0.151,11.074
男,高中,0,4.95,8.85,10.63,10.81,2.6,0.192,10.951
男,高中,0,5.13,9.35,10.12,10.83,2.6,0.172,10.971
男,高中,0,5,9.27,10.63,10.51,2.6,0.162,10.644
男,高中,0,5.05,9.13,10.49,10.68,2.6,0.135,10.818
男,高中,0,5,9.43,10.63,10.5,2.6,0.145,10.634
男,高中,0,4.83,9.2,10.63,10.87,2.6,0.19,11.012
男,高中,0,4.95,9.43,10,10.8,2.6,0.164,10.941
女,高中,0,4.76,8.52,8.95,12.17,1.7,0.127,12.292
女,高中,0,4.59,8.58,9.24,12.07,1.7,0.144,12.19
女,高中,0,4.59,8.39,9.24,12.06,1.7,0.139,12.18
女,高中,0,4.69,8.78,9.44,11.73,1.7,0.152,11.844
女,高中,0,4.72,8.71,9.44,11.77,1.7,0.148,11.884
女,高中,0,4.55,8.71,9.14,11.92,1.7,0.153,12.037
女,高中,0,4.65,8.71,9.14,12.16,1.7,0.152,12.282
女,高中,0,4.5,8.78,9.24,12.11,1.7,0.14,12.231
女,高中,0,4.55,8.16,8.67,12.59,1.3,0.177,12.692
女,高中,0,4.41,8.33,8.95,12.49,1.3,0.16,12.591
女,高中,0,4.61,8.39,9.04,12.13,1.3,0.149,12.225
女,高中,0,4.61,8.85,9.44,11.71,1.3,0.153,11.799
女,高中,0,4.5,8.21,8.95,12.27,1.3,0.156,12.367
女,高中,0,4.48,8.39,9.04,12.35,1.3,0.195,12.448
女,高中,0,4.48,8.16,9.14,12.38,1.3,0.175,12.479
女,高中,0,4.59,8.39,9.04,12.54,1.3,0.162,12.641
女,高中,0,4.48,8.1,8.59,12.46,1.8,0.15,12.594
女,高中,0,4.48,8.27,9.14,12.42,1.8,0.159,12.553
女,高中,0,4.65,8.39,9.14,12.16,1.8,0.141,12.288
女,高中,0,4.72,8.65,9.55,11.74,1.8,0.158,11.86
女,高中,0,4.59,8.39,9.24,12.12,1.8,0.179,12.247
女,高中,0,4.59,8.16,8.85,12.43,1.8,0.152,12.563
女,高中,0,4.5,8.46,8.85,12.32,1.8,0.153,12.451
女,高中,0,4.5,8.46,8.95,12.51,1.8,0.149,12.645
女,高中,0,4.59,8.1,8.67,12.52,1.6,0.208,12.642
女,高中,0,4.44,8.52,9.24,11.95,1.6,0.18,12.062
女,高中,0,4.5,8.33,9.24,12.26,1.6,0.172,12.377
女,高中,0,4.59,8.46,9.04,11.95,1.6,0.137,12.062
女,高中,0,4.61,8.46,9.24,12.07,1.6,0.145,12.184
女,高中,0,4.61,8.52,9.14,12.26,1.6,0.157,12.377
女,高中,0,4.55,8.21,8.95,12.35,1.6,0.13,12.469
女,高中,0,4.48,8.27,9.04,12.33,1.6,0.157,12.448
男,國中,0,4.95,9.13,9.77,11.24,2.5,0.169,11.387
男,國中,0,4.88,9.2,10,11.15,2.5,0.153,11.294
男,國中,0,4.88,8.91,10.24,10.92,2.5,0.164,11.059
男,國中,0,4.88,9.2,10,10.97,2.5,0.19,11.11
男,國中,0,4.83,9.06,10.24,11.02,2.5,0.139,11.161
男,國中,0,4.93,9.27,9.77,11.11,2.5,0.15,11.253
男,國中,0,4.88,9.13,10.12,11.13,2.5,0.144,11.274
男,國中,0,4.61,9.2,10.37,11.15,2.5,0.183,11.294
男,國中,0,4.72,8.98,9.66,11.24,2.9,0.159,11.406
男,國中,0,4.81,8.85,9.88,11.14,2.9,0.138,11.303
男,國中,0,4.81,9.27,10.24,10.82,2.9,0.143,10.975
男,國中,0,4.81,9.13,10,10.91,2.9,0.147,11.067
男,國中,0,4.78,8.98,9.88,11.03,2.9,0.162,11.19
男,國中,0,4.76,8.98,10.12,11.21,2.9,0.172,11.375
男,國中,0,4.88,8.91,9.66,11.2,2.9,0.17,11.365
男,國中,0,4.55,9.27,9.88,11.19,2.9,0.155,11.354
男,國中,0,4.81,8.91,9.77,11.29,2.2,0.152,11.423
男,國中,0,4.93,9.43,10,11.13,2.2,0.151,11.259
男,國中,0,4.72,9.13,9.88,11.02,2.2,0.161,11.147
男,國中,0,5,9.2,10,10.86,2.2,0.13,10.983
男,國中,0,4.81,8.91,10,11.15,2.2,0.165,11.28
男,國中,0,4.76,9.06,10.12,11.25,2.2,0.206,11.382
男,國中,0,5,9.06,9.77,11.23,2.2,0.147,11.361
男,國中,0,4.61,9.35,9.88,11.2,2.2,0.14,11.331
女,國中,0,4.5,8.04,8.59,12.78,2.1,0.15,12.94
女,國中,0,4.48,8.16,8.5,12.78,2.1,0.185,12.94
女,國中,0,4.52,8.33,8.85,12.48,2.1,0.16,12.633
女,國中,0,4.5,8.33,8.95,12.25,2.1,0.186,12.398
女,國中,0,4.48,8.16,9.24,12.24,2.1,0.178,12.388
女,國中,0,4.5,8.27,8.85,12.55,2.1,0.183,12.705
女,國中,0,4.48,8.27,8.95,12.49,2.1,0.152,12.644
女,國中,0,4.41,8.33,8.76,12.89,2.1,0.189,13.053
女,國中,0,4.39,8.27,8.76,12.67,2.6,0.174,12.858
女,國中,0,4.39,8.39,8.95,12.51,2.6,0.181,12.694
女,國中,0,4.59,8.58,9.44,12.15,2.6,0.159,12.325
女,國中,0,4.74,8.46,9.24,12,2.6,0.16,12.171
女,國中,0,4.57,8.46,9.24,12.28,2.6,0.152,12.458
女,國中,0,4.55,8.33,8.95,12.33,2.6,0.128,12.509
女,國中,0,4.55,8.21,9.04,12.84,2.6,0.164,13.033
女,國中,0,4.31,8.52,9.14,12.66,1.7,0.171,12.791
女,國中,0,4.65,8.39,8.59,12.69,1.7,0.155,12.822
女,國中,0,4.61,8.21,9.04,12.4,1.7,0.141,12.526
女,國中,0,4.65,8.65,9.24,11.89,1.7,0.138,12.007
女,國中,0,4.55,8.39,9.04,12.28,1.7,0.163,12.404
女,國中,0,4.55,8.39,9.04,12.51,1.7,0.17,12.638
女,國中,0,4.44,8.33,9.04,12.52,1.7,0.194,12.649
女,國中,0,4.39,8.39,8.76,12.64,1.7,0.176,12.771
